yards_to_goal,down,distance,next_points_scored
75,1,10,7
68,2,3,7
68,2,3,7
47,1,10,7
47,2,10,7
35,1,10,7
29,2,4,7
29,2,4,7
29,3,4,7
75,1,10,7
75,2,10,7
81,3,16,7
66,1,10,-7
66,1,10,-7
69,2,13,-7
62,3,6,-7
48,1,10,7
48,1,10,7
47,2,9,7
39,3,1,7
35,1,10,7
35,2,10,7
22,1,10,7
16,2,4,7
29,1,10,7
29,1,10,7
18,1,10,7
75,1,10,-3
74,2,9,-3
74,3,9,-3
75,1,10,3
75,1,10,3
75,2,10,3
73,3,8,3
65,1,10,-3
65,1,10,-3
44,1,10,-3
42,2,8,-3
42,3,8,-3
11,1,10,-3
7,2,6,-3
11,3,10,-3
11,3,10,-3
91,1,10,3
83,2,2,3
91,1,10,3
83,2,2,3
81,1,10,3
81,2,10,3
64,1,10,3
64,2,10,3
57,3,3,3
48,1,10,3
46,2,8,3
48,2,10,3
48,3,10,3
84,1,10,-3
75,2,1,-3
79,1,20,-3
76,2,17,-3
76,3,17,-3
61,4,2,-3
38,1,10,3
38,1,10,3
30,2,2,3
24,1,10,3
24,2,10,3
28,3,14,3
68,1,10,7
68,1,10,7
63,2,5,7
60,3,2,7
50,1,10,7
35,1,10,7
33,2,8,7
30,3,5,7
21,1,10,7
21,1,10,7
13,2,2,7
12,3,1,7
11,1,10,7
9,2,8,7
75,1,10,-3
70,2,5,-3
68,3,3,-3
67,1,10,3
67,1,10,3
67,2,10,3
57,1,10,3
57,2,10,3
50,3,3,3
44,1,10,3
47,2,13,3
47,3,13,3
20,1,10,3
20,2,10,3
19,3,9,3
80,1,10,3
63,1,10,3
59,2,6,3
52,1,10,3
52,2,10,3
53,3,11,3
47,4,5,3
53,1,10,-3
49,2,6,-3
47,3,4,-3
80,1,10,3
78,2,8,3
61,1,10,3
61,2,10,3
47,1,15,3
47,2,15,3
30,1,15,3
30,2,15,3
22,3,7,3
11,1,10,3
11,2,10,3
11,3,10,3
76,1,10,0
75,1,10,3
62,1,10,3
60,2,8,3
31,1,10,3
12,1,10,3
7,2,5,3
7,3,5,3
77,1,10,-7
80,3,13,-7
50,1,10,7
50,2,10,7
50,3,10,7
37,1,10,7
34,2,7,7
35,3,8,7
98,1,10,-7
93,2,5,-7
85,1,10,-7
85,2,10,-7
82,3,7,-7
39,1,10,7
31,2,2,7
30,3,1,7
31,4,2,7
29,1,10,7
18,1,10,7
17,2,9,7
79,1,10,3
63,1,10,3
52,1,10,3
45,2,3,3
33,1,10,3
33,2,10,3
28,2,5,3
24,3,1,3
23,1,10,3
21,2,8,3
21,3,8,3
75,1,10,-7
71,2,6,-7
81,3,16,-7
86,1,10,7
84,2,8,7
84,3,8,7
54,1,10,-7
44,1,10,-7
42,2,8,-7
42,2,8,-7
58,1,10,7
59,2,11,7
59,3,11,7
82,1,10,-7
73,2,1,-7
55,1,10,-7
55,2,10,-7
83,1,10,7
74,2,1,7
80,1,17,7
73,2,10,7
59,1,10,7
59,2,10,7
34,1,10,7
29,2,5,7
29,3,5,7
8,1,8,7
8,2,8,7
4,3,4,7
75,1,10,7
75,2,10,7
64,1,10,7
55,2,1,7
75,1,10,-7
75,2,10,-7
75,3,10,-7
92,1,10,7
67,1,10,7
65,2,8,7
55,1,10,7
53,2,8,7
59,3,14,7
80,1,10,-7
66,1,10,-7
66,2,10,-7
65,3,9,-7
65,3,9,-7
46,1,20,7
27,1,10,7
22,2,5,7
18,3,1,7
19,4,2,7
6,1,6,7
87,1,10,3
80,2,3,3
78,3,1,3
64,1,10,3
57,2,3,3
57,3,3,3
51,1,10,3
34,1,10,3
39,2,15,3
27,3,3,3
34,4,10,3
34,4,10,3
75,1,10,-3
65,1,10,-3
59,2,4,-3
57,3,2,-3
89,1,10,3
80,1,15,3
67,2,2,3
66,3,1,3
54,1,10,3
23,1,5,3
17,1,10,3
30,2,23,3
30,3,23,3
28,1,10,-7
75,1,10,7
75,1,10,0
62,1,10,0
65,2,13,0
65,3,13,0
85,1,10,0
72,1,10,0
64,2,2,0
61,1,10,0
58,2,7,0
60,3,9,0
50,1,10,0
45,2,5,0
43,3,3,0
75,1,10,7
46,1,10,7
75,1,10,-7
72,2,7,-7
67,3,2,-7
62,1,10,-7
61,2,9,-7
7,1,7,7
52,1,10,-7
60,2,18,-7
60,3,18,-7
98,2,9,7
88,1,10,7
75,1,10,7
64,1,10,7
64,1,10,7
64,2,10,7
73,1,10,-7
70,2,7,-7
64,3,1,-7
62,1,10,-7
51,1,10,-7
45,2,4,-7
61,1,10,7
61,2,10,7
61,3,10,7
86,1,10,-7
71,1,10,-7
65,2,4,-7
53,1,10,-7
64,2,21,-7
64,2,21,-7
64,3,21,-7
92,1,10,7
55,1,10,7
18,1,10,7
18,2,10,7
17,3,9,7
86,1,10,7
84,2,8,7
68,1,10,7
65,2,7,7
56,1,10,7
64,2,18,7
45,1,10,7
39,2,4,7
21,1,10,7
21,2,10,7
21,3,10,7
22,4,11,7
78,1,10,-7
78,2,10,-7
66,1,10,-7
65,2,9,-7
65,3,9,-7
51,1,10,-7
57,2,16,-7
35,1,10,-7
19,1,10,-7
6,1,6,-7
4,2,4,-7
4,3,4,-7
2,4,2,-7
98,1,10,7
92,2,4,7
92,3,4,7
56,1,10,-7
80,1,10,7
80,2,10,7
0,1,0,-7
76,3,6,7
75,1,10,7
70,2,5,7
66,3,1,7
66,4,1,7
59,1,10,7
49,1,10,7
31,1,10,7
24,2,3,7
14,1,10,7
14,2,10,7
45,1,10,7
19,1,10,7
19,2,10,7
19,3,10,7
75,1,10,-3
81,2,16,-3
81,3,16,-3
57,1,10,-3
51,2,4,-3
56,3,9,-3
57,1,20,-3
55,2,18,-3
83,1,10,3
76,2,3,3
56,1,10,3
52,2,6,3
52,3,6,3
39,1,10,3
39,2,10,3
34,3,5,3
34,4,5,3
70,1,10,-3
65,2,5,-3
55,1,10,-3
55,2,10,-3
43,1,10,-3
43,2,10,-3
53,3,20,-3
46,4,13,-3
63,1,10,3
58,2,5,3
49,1,10,3
40,2,1,3
28,1,10,3
28,2,10,3
23,3,5,3
75,1,10,7
67,2,2,7
62,1,10,7
75,1,10,-7
78,2,13,-7
75,3,10,-7
57,1,10,-7
55,2,8,-7
55,3,8,-7
42,1,10,-7
39,2,7,-7
39,3,7,-7
34,4,2,-7
66,1,10,7
19,1,10,7
14,2,5,7
9,1,9,7
9,2,9,7
5,3,5,7
75,1,10,0
70,2,5,0
77,1,10,7
7,1,7,7
2,2,2,7
75,1,10,-7
75,2,10,-7
72,3,7,-7
70,1,10,7
72,1,10,-7
69,2,7,-7
68,3,6,-7
66,1,10,7
64,2,8,7
45,1,10,7
91,1,10,-3
92,2,11,-3
92,3,11,-3
58,1,10,3
