offense,defense,hfa,sepa
Hawai'i,Vanderbilt,1,-0.6421505306649413
Hawai'i,Vanderbilt,1,1.3712493456690678
Hawai'i,Vanderbilt,1,0.5664645127465944
Hawai'i,Vanderbilt,1,-0.8646705500480634
Hawai'i,Vanderbilt,1,1.1693020771640477
Hawai'i,Vanderbilt,1,-0.7144158444448316
Vanderbilt,Hawai'i,-1,-0.18809771456240543
Vanderbilt,Hawai'i,-1,-1.6848425725261054
Hawai'i,Vanderbilt,1,0.11241169664405826
Hawai'i,Vanderbilt,1,0.9224382343295408
Hawai'i,Vanderbilt,1,-0.34129233474226695
Hawai'i,Vanderbilt,1,-1.6192327773570634
Vanderbilt,Hawai'i,-1,0.1124116966440587
Vanderbilt,Hawai'i,-1,0.6181570756483827
Vanderbilt,Hawai'i,-1,1.2773928835455362
Vanderbilt,Hawai'i,-1,-0.4900770830571841
Vanderbilt,Hawai'i,-1,-0.8646705500480634
Vanderbilt,Hawai'i,-1,0.3155472078216599
Vanderbilt,Hawai'i,-1,-0.6421505306649413
Vanderbilt,Hawai'i,-1,1.3109810968481623
Vanderbilt,Hawai'i,-1,1.3993993384756624
Vanderbilt,Hawai'i,-1,0.9731117248643786
Hawai'i,Vanderbilt,1,1.09364822250619
Hawai'i,Vanderbilt,1,0.26448514425181546
Hawai'i,Vanderbilt,1,0.6483583317916572
Hawai'i,Vanderbilt,1,1.034849930973599
Hawai'i,Vanderbilt,1,0.1124116966440587
Hawai'i,Vanderbilt,1,-0.8646705500480638
Hawai'i,Vanderbilt,1,-0.8912490935853508
Vanderbilt,Hawai'i,-1,-0.6421505306649415
Vanderbilt,Hawai'i,-1,0.04196512486869364
Vanderbilt,Hawai'i,-1,1.3910224269095948
Vanderbilt,Hawai'i,-1,0.730568772292441
Vanderbilt,Hawai'i,-1,0.1124116966440587
Vanderbilt,Hawai'i,-1,-0.8646705500480634
Hawai'i,Vanderbilt,1,-0.7924052362681737
Hawai'i,Vanderbilt,1,-0.4120876912338418
Vanderbilt,Hawai'i,-1,-0.039312966247488035
Vanderbilt,Hawai'i,-1,-0.11010832273906379
Vanderbilt,Hawai'i,-1,3.0370852501480985
Vanderbilt,Hawai'i,-1,-0.3401711621701633
Alabama,Utah State,1,0.9731117248643786
Alabama,Utah State,1,0.9731117248643788
Alabama,Utah State,1,0.7167192183498261
Alabama,Utah State,1,-0.8646705500480634
Alabama,Utah State,1,0.6085623173623151
Alabama,Utah State,1,-0.9441298991597198
Alabama,Utah State,1,-0.8646705500480638
Alabama,Utah State,1,2.8722474155706994
Alabama,Utah State,1,0.4143910651388367
Alabama,Utah State,1,-0.6421505306649413
Alabama,Utah State,1,1.51945278793562
Alabama,Utah State,1,-0.6421505306649413
Alabama,Utah State,1,-0.11010832273906335
Utah State,Alabama,-1,-0.1895676718507201
Utah State,Alabama,-1,1.512545833657867
Utah State,Alabama,-1,0.4132698925667331
Utah State,Alabama,-1,0.5598418322976453
Utah State,Alabama,-1,0.4132698925667331
Utah State,Alabama,-1,-0.5626911815532845
Utah State,Alabama,-1,-0.8912490935853505
Utah State,Alabama,-1,2.1357885623664066
Utah State,Alabama,-1,-0.8646705500480634
Utah State,Alabama,-1,-0.1895676718507202
Utah State,Alabama,-1,0.040146382864168384
Utah State,Alabama,-1,-0.8912490935853503
Utah State,Alabama,-1,1.7095009487551227
Utah State,Alabama,-1,-0.6421505306649413
Utah State,Alabama,-1,-0.8646705500480634
Utah State,Alabama,-1,-0.28694157187958247
Arkansas,Cincinnati,1,-0.33982237745395216
Arkansas,Cincinnati,1,1.9214964196806463
Arkansas,Cincinnati,1,0.41473984985504764
Arkansas,Cincinnati,1,-0.8646705500480636
Arkansas,Cincinnati,1,1.2407677213063626
Arkansas,Cincinnati,1,-0.7924052362681733
Arkansas,Cincinnati,1,0.040146382864168606
Arkansas,Cincinnati,1,-0.03931296624748826
Arkansas,Cincinnati,1,-1.3169046241460742
Arkansas,Cincinnati,1,2.0250481565767835
Arkansas,Cincinnati,1,-0.18956767185072
Arkansas,Cincinnati,1,-0.2618329856306103
Cincinnati,Arkansas,-1,-0.9426599418714052
Utah,Florida,-1,-0.6421505306649415
Utah,Florida,-1,-0.562342396837074
Florida,Utah,1,-0.6421505306649415
Florida,Utah,1,-1.1651799612545273
Utah,Florida,-1,0.41473984985504786
Utah,Florida,-1,1.3492088961226778
Utah,Florida,-1,0.5649945554582798
Utah,Florida,-1,0.2875806717642875
Utah,Florida,-1,-0.039312966247488035
Utah,Florida,-1,-0.8646705500480634
Utah,Florida,-1,2.361698098121951
Utah,Florida,-1,-1.1651799612545277
Utah,Florida,-1,-0.5907396823788869
Florida,Utah,1,0.9113735187551582
Florida,Utah,1,1.0348499309735992
Florida,Utah,1,-0.6421505306649414
Florida,Utah,1,0.1922198304719257
Florida,Utah,1,1.4833106738783002
Florida,Utah,1,-0.6421505306649418
Florida,Utah,1,-0.6421505306649413
Florida,Utah,1,0.668830566183221
Florida,Utah,1,0.41473984985504764
Florida,Utah,1,-0.7144158444448316
Florida,Utah,1,1.8210817879955723
Florida,Utah,1,0.715249261061512
Utah,Florida,-1,0.7290988150041269
Utah,Florida,-1,0.26448514425181546
Utah,Florida,-1,1.9976317388017415
Utah,Florida,-1,0.41473984985504764
Utah,Florida,-1,-0.8646705500480634
Utah,Florida,-1,1.0584930175553313
