team,Conference
Air Force,Mountain West
Akron,Mid-American
Alabama,SEC
Appalachian State,Sun Belt
Arizona,Pac-12
Arizona State,Pac-12
Arkansas,SEC
Arkansas State,Sun Belt
Army,FBS Independents
Auburn,SEC
BYU,FBS Independents
Ball State,Mid-American
Baylor,Big 12
Boise State,Mountain West
Boston College,ACC
Bowling Green,Mid-American
Buffalo,Mid-American
California,Pac-12
Central Michigan,Mid-American
Charlotte,Conference USA
Cincinnati,American Athletic
Clemson,ACC
Coastal Carolina,Sun Belt
Colorado,Pac-12
Colorado State,Mountain West
Connecticut,FBS Independents
Duke,ACC
East Carolina,American Athletic
Eastern Michigan,Mid-American
Florida,SEC
Florida Atlantic,Conference USA
Florida International,Conference USA
Florida State,ACC
Fresno State,Mountain West
Georgia,SEC
Georgia Southern,Sun Belt
Georgia State,Sun Belt
Georgia Tech,ACC
Hawai'i,Mountain West
Houston,American Athletic
Illinois,Big Ten
Indiana,Big Ten
Iowa,Big Ten
Iowa State,Big 12
James Madison,Sun Belt
Kansas,Big 12
Kansas State,Big 12
Kent State,Mid-American
Kentucky,SEC
LSU,SEC
Liberty,FBS Independents
Louisiana,Sun Belt
Louisiana Monroe,Sun Belt
Louisiana Tech,Conference USA
Louisville,ACC
Marshall,Sun Belt
Maryland,Big Ten
Memphis,American Athletic
Miami,ACC
Miami (OH),Mid-American
Michigan,Big Ten
Michigan State,Big Ten
Middle Tennessee,Conference USA
Minnesota,Big Ten
Mississippi State,SEC
Missouri,SEC
NC State,ACC
Navy,American Athletic
Nebraska,Big Ten
Nevada,Mountain West
New Mexico,Mountain West
New Mexico State,FBS Independents
North Carolina,ACC
North Texas,Conference USA
Northern Illinois,Mid-American
Northwestern,Big Ten
Notre Dame,FBS Independents
Ohio,Mid-American
Ohio State,Big Ten
Oklahoma,Big 12
Oklahoma State,Big 12
Old Dominion,Sun Belt
Ole Miss,SEC
Oregon,Pac-12
Oregon State,Pac-12
Penn State,Big Ten
Pittsburgh,ACC
Purdue,Big Ten
Rice,Conference USA
Rutgers,Big Ten
SMU,American Athletic
San Diego State,Mountain West
San José State,Mountain West
South Alabama,Sun Belt
South Carolina,SEC
South Florida,American Athletic
Southern Mississippi,Sun Belt
Stanford,Pac-12
Syracuse,ACC
TCU,Big 12
Temple,American Athletic
Tennessee,SEC
Texas,Big 12
Texas A&M,SEC
Texas State,Sun Belt
Texas Tech,Big 12
Toledo,Mid-American
Troy,Sun Belt
Tulane,American Athletic
Tulsa,American Athletic
UAB,Conference USA
UCF,American Athletic
UCLA,Pac-12
UMass,FBS Independents
UNLV,Mountain West
USC,Pac-12
UT San Antonio,Conference USA
UTEP,Conference USA
Utah,Pac-12
Utah State,Mountain West
Vanderbilt,SEC
Virginia,ACC
Virginia Tech,ACC
Wake Forest,ACC
Washington,Pac-12
Washington State,Pac-12
West Virginia,Big 12
Western Kentucky,Conference USA
Western Michigan,Mid-American
Wisconsin,Big Ten
Wyoming,Mountain West
