home,away,season,game_date,home_goals,away_goals,home_win,home_giveaway_give_str,home_giveaways_receive_str,home_takeaway_take_str,home_takeaway_lose_str,home_hit_hitter_str,home_hit_target_str,home_penalty_penalized_str,home_penalty_drawer_str,home_shots_offense_str,home_shots_defense_str,home_xgoals_offense_str,home_xgoals_defense_str,home_goal_diff_offense_str,home_goal_diff_defense_str,home_blocks_offense_str,home_blocks_defense_str,away_giveaway_give_str,away_giveaways_receive_str,away_takeaway_take_str,away_takeaway_lose_str,away_hit_hitter_str,away_hit_target_str,away_penalty_penalized_str,away_penalty_drawer_str,away_shots_offense_str,away_shots_defense_str,away_xgoals_offense_str,away_xgoals_defense_str,away_goal_diff_offense_str,away_goal_diff_defense_str,away_blocks_offense_str,away_blocks_defense_str,giveaway_hia,takeaway_hia,hits_hia,penalty_min_hia,shots_hia,xgoals_hia,goal_diff_hia,blocks_hia,home_consensus,home_implied_prob,home_Barstool_Sportsbook,home_BetMGM,home_BetOnline_ag,home_BetRivers,home_BetUS,home_Betfair,home_Bookmaker,home_Bovada,home_Caesars,home_Circa_Sports,home_DraftKings,home_FOX_Bet,home_FanDuel,home_GTbets,home_Intertops,home_LowVig_ag,home_MyBookie_ag,home_PointsBet_US,home_SugarHouse,home_SuperBook,home_TwinSpires,home_Unibet,home_William_Hill_US,home_WynnBET,away_consensus,away_implied_prob,away_Barstool_Sportsbook,away_BetMGM,away_BetOnline_ag,away_BetRivers,away_BetUS,away_Betfair,away_Bookmaker,away_Bovada,away_Caesars,away_Circa_Sports,away_DraftKings,away_FOX_Bet,away_FanDuel,away_GTbets,away_Intertops,away_LowVig_ag,away_MyBookie_ag,away_PointsBet_US,away_SugarHouse,away_SuperBook,away_TwinSpires,away_Unibet,away_William_Hill_US,away_WynnBET
CAR,CBJ,2022,20221012,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.490384615384617,0.6666666666666667,-0.33333333333333237,0.33333333333333326,1.6666666666666674,0.32683333333333336,-0.16016666666666668,-1.1111111111111107,-278,0.7354,-286,-275,-278,-278,-270,-270,-278,-270,-278,-278,-275,-278,-285,-280,-270,-271,-245,-291,-278,-260,-286,-286,-278,-294,230,0.303,230,220,240,235,230,250,230,220,230,230,230,205,230,240,230,240,204,230,235,230,230,230,222,230
COL,CHI,2022,20221012,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.490384615384617,0.6666666666666667,-0.33333333333333237,0.33333333333333326,1.6666666666666674,0.32683333333333336,-0.16016666666666668,-1.1111111111111107,-420,0.8077,-420,-400,-385,-420,-410,-435,-420,-420,-420,-420,-425,-455,-450,-425,-400,-385,-420,-430,-420,-400,-420,-417,-430,-435,328,0.2336,320,310,334,330,330,310,328,315,328,328,340,280,340,325,315,334,330,325,330,330,320,320,328,325
ANA,SEA,2022,20221012,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.490384615384617,0.6666666666666667,-0.33333333333333237,0.33333333333333326,1.6666666666666674,0.32683333333333336,-0.16016666666666668,-1.1111111111111107,-125,0.5556,-127,-125,-115,-124,-120,-116,-125,-125,-125,-125,-125,-125,-126,-125,-125,-115,-131,-125,-124,-120,-127,-127,-125,-122,105,0.4878,105,105,104,108,100,104,105,105,105,105,105,100,105,105,105,104,112,105,108,110,105,105,105,110
EDM,VAN,2022,20221012,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.490384615384617,0.6666666666666667,-0.33333333333333237,0.33333333333333326,1.6666666666666674,0.32683333333333336,-0.16016666666666668,-1.1111111111111107,-195,0.661,-200,-190,-185,-195,-190,-189,-195,-195,-195,-195,-195,-189,-200,-195,-190,-185,-190,-200,-195,-190,-200,-200,-195,-200,165,0.3774,160,155,166,165,165,162,165,165,165,165,165,145,164,170,165,166,160,165,165,170,160,160,162,165
PIT,ARI,2022,20221013,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5304878048780513,0.6999999999999996,0.20000000000000284,0.33333333333333404,1.8666666666666654,0.13849999999999985,0.19483333333333364,-1.0666666666666675,-395,0.798,-385,-375,-370,-375,-400,-400,-395,-400,-395,-395,-365,-400,-420,-410,-400,-370,-390,-415,-375,-380,-385,-385,-420,-417,305,0.2469,295,300,322,300,320,350,305,300,305,305,300,280,320,310,315,322,295,315,300,320,295,295,320,315
TOR,WSH,2022,20221013,3,2,1,1.7891260162601632,1.0442073170731714,0,1.4285714285714284,0,2.7142857142857135,0,1.1428571428571423,0,8.07142857142857,0,0.36607142857142844,0,0.13392857142857142,2.7142857142857135,0,0.7942073170731703,1.289126016260163,0.9285714285714295,0,5.714285714285717,0,1.0000000000000009,0,8.357142857142861,0,0.42092857142857165,0,0.07907142857142864,0,0,2.3571428571428585,-1.5304878048780513,0.6999999999999996,0.20000000000000284,0.33333333333333404,1.8666666666666654,0.13849999999999985,0.19483333333333364,-1.0666666666666675,-198,0.6644,-195,-200,-196,-190,-200,-192,-198,-200,-198,-198,-195,-213,-210,-200,-190,-195,-200,-198,-190,-190,-195,-192,-205,-204,169,0.3717,160,165,175,163,170,176,169,170,169,169,165,160,172,170,165,175,162,169,163,170,160,160,170,170
VGK,CHI,2022,20221013,1,0,1,1.2057926829268297,0.37754065040650386,0,0.6428571428571435,0,3.4285714285714297,0,1.1428571428571432,0,9.785714285714286,0,0.571857142857143,0,-0.07185714285714304,2.5000000000000004,0,0.37245934959349536,0.37754065040650464,0,0.5714285714285717,0,4.642857142857146,0,2.0000000000000013,0,6.785714285714293,0,0.370714285714286,0,0.12928571428571434,1.92857142857143,0,-1.5304878048780513,0.6999999999999996,0.20000000000000284,0.33333333333333404,1.8666666666666654,0.13849999999999985,0.19483333333333364,-1.0666666666666675,-348,0.7768,-345,-350,-345,-335,-350,-370,-348,-360,-348,-348,-350,-357,-375,-360,-360,-345,-349,-380,-335,-340,-345,-345,-365,-385,288,0.2577,270,280,301,275,290,285,288,280,288,288,290,260,290,280,290,301,265,290,275,290,270,270,285,290
LAK,SEA,2022,20221013,1,4,0,0.37754065040650386,1.2057926829268297,0.6428571428571435,0,3.4285714285714297,0,1.1428571428571432,0,9.785714285714286,0,0.571857142857143,0,-0.07185714285714304,0,0,2.5000000000000004,0.7057926829268301,0.6275406504065048,0,0.714285714285714,0,2.6428571428571423,0,1.8571428571428577,0,8.714285714285712,0,0.5279285714285712,0,0.11492857142857159,2,0,-1.5304878048780513,0.6999999999999996,0.20000000000000284,0.33333333333333404,1.8666666666666654,0.13849999999999985,0.19483333333333364,-1.0666666666666675,-180,0.6429,-180,-185,-172,-180,-175,-185,-180,-180,-180,-180,-180,-182,-184,-180,-180,-171,-183,-180,-180,-180,-180,-179,-178,-179,150,0.4,148,150,154,150,155,154,150,155,150,150,155,140,152,160,160,154,148,150,150,160,148,148,150,150
PIT,TBL,2022,20221015,6,2,1,0.5244656183311609,0.3922010483355058,0.9285714285714278,0,4.642857142857137,0,1.7142857142857129,0,8.785714285714276,0,0.6196428571428566,0,-0.04821428571428558,0,0,1.7142857142857135,1.2909059918874468,1.4649861958415467,0,2,0,5.187499999999998,0,1.9999999999999996,0,14.187500000000002,0,0.9423124999999999,0,-0.2548125,3.187500000000001,0,-1.293587419973938,0.48275862068965325,0.5689655172413759,0.03448275862069139,0.8103448275861864,0.31363793103448184,-0.07225862068965508,0.12068965517241348,-169,0.6283,-155,-175,-169,-152,-170,-164,-169,-170,-169,-169,-165,-167,-176,-170,-170,-168,-152,-176,-152,-165,-155,-154,-170,-175,148,0.4032,128,145,152,130,150,158,148,145,148,148,140,130,142,150,150,152,124,145,130,150,128,128,143,145
NYI,ANA,2022,20221015,7,1,1,1.1911322849978285,1.5588677150021728,0.9285714285714277,0,3.71428571428571,0,1.4285714285714266,0,9.28571428571428,0,0.5514999999999994,0,-0.2657857142857142,0,0,2.714285714285714,0.5486995323381804,0.6634390638652299,0.7006079027355623,0,2.0060790273556237,0,1.5167173252279635,0,8.086626139817632,0,0.4901155015197569,0,0.12386626139817633,0,0,1.8404255319148946,-1.293587419973938,0.48275862068965325,0.5689655172413759,0.03448275862069139,0.8103448275861864,0.31363793103448184,-0.07225862068965508,0.12068965517241348,-173,0.6337,-175,-175,-167,-167,-165,-169,-173,-165,-173,-173,-170,-175,-178,-170,-165,-165,-168,-176,-167,-164,-175,-172,-170,-175,145,0.4082,140,145,149,143,145,162,145,140,145,145,145,135,146,150,145,149,137,145,143,149,140,140,143,145
